ID,GROUP_ID,ITEM_ID,RATE
1,10,1001,1500
2,10,1002,1500
3,10,1003,1500
4,10,1010,1500
5,10,1020,1000
6,10,1030,1000
7,10,100100,500
8,10,100200,500
9,10,100300,500
10,10,100400,500
11,20,1003,1500
12,20,1004,1500
13,20,1005,1500
14,20,1030,1500
15,20,1040,1500
16,20,2100,800
17,20,100500,800
18,20,200100,300
19,20,200200,300
20,20,200300,300
21,30,1004,2000
22,30,1005,2000
23,30,1040,1700
24,30,1050,1700
25,30,2200,1000
26,30,2300,1000
27,30,200400,200
28,30,200500,200
29,30,300100,100
30,30,300200,100
