ID,GROUP_ID,GRADE,NAME,LEVEL,ATT,DEF,GEN_RATE,BASE_DROP_RATE,SPECIAL_DROP_RATE,BASE_DROP_GROUP_ID,SPECIAL_DROP_GROUP_ID
110,1,NORMAL,j,1,3,1,3000,10000,0,10,0
120,1,NORMAL,k,2,3,2,3000,10000,0,10,0
130,1,NORMAL,l,2,6,4,2000,9500,500,10,20
1010,1,MAGIC,jj,3,10,5,1000,9500,500,10,20
1020,1,MAGIC,kk,4,10,5,1000,9500,500,10,20
140,2,NORMAL,m,3,8,2,2500,10000,0,10,0
150,2,NORMAL,n,3,7,6,2000,9500,500,10,20
160,2,NORMAL,o,4,8,4,1500,9500,500,10,20
1030,2,MAGIC,mm,6,14,8,1500,9000,1000,10,20
1040,2,MAGIC,nn,6,14,8,1500,9000,1000,10,20
10010,2,RARE,jjj,8,25,15,1000,9800,200,20,30
170,3,NORMAL,p,6,10,15,3000,10000,0,20,0
180,3,NORMAL,q,6,12,10,3000,10000,0,20,0
1050,3,MAGIC,pp,8,15,18,1500,9500,500,20,30
1060,3,MAGIC,qq,8,16,12,1500,9500,500,20,30
10020,3,RARE,ppp,9,28,20,1000,10000,0,30,0
