INDEX,GROUP_ID,X,Y,MOVE_LIST,SPECIAL_MOVE,MONSTER_GROUP_ID_LIST
1,1,0,4,4,0,1
2,1,0,3,3;4,0,1
3,1,2,3,4,0,1
4,1,4,3,4,0,1
5,1,0,2,1;3;4,0,1
6,1,1,2,1;2;4,0,1
7,1,2,2,1;2;3;4,0,1
8,1,3,2,1;2;4,0,1;2
9,1,4,2,2;3;4,0,2
10,1,0,1,1;3;4,0,1
11,1,1,1,1;2;3;4,0,1
12,1,2,1,1;2;3;4,0,1
13,1,3,1,1;2;3;4,0,1
14,1,4,1,2;3,0,1
15,1,0,0,1;3,0,1;2
16,1,1,0,1;2;3,0,2;3
17,1,2,0,1;2;3,0,1;2
18,1,3,0,2;3,0,1;2
1001,1001,1,4,1;4,0,2
1002,1001,2,4,2;4;,0,2
1003,1001,1,3,1;3;4,0,2
1004,1001,2,3,2;3;4,0,2
1005,1001,4,3,4,0,2
1006,1001,1,2,1;3;4,0,2
1007,1001,2,2,1;2;3;4,0,2
1008,1001,3,2,1;2,0,2;3
1009,1001,4,2,2;3;4,0,2
1010,1001,1,1,1;3;4,0,2
1011,1001,2,1,2;3,0,2
1012,1001,4,1,3,0,1;2;3
1013,1001,0,0,1,0,1;2;3
1014,1001,1,0,2;3,0,2;3
